National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Netherlands	100-Holding Account	ENGIE E&amp;P Nederland B.V. 	11	27113806	open	Account holder	ENGIE E&amp;P Nederland B.V.	Einsteinlaan 10		2719 EP	ZOETERMEER	Netherlands	11	ENGIE E&amp;P Nederland B.V., F3-FB-1 platform	NL-200400285	2005-01-01					Eleanor Rooseveltlaan 3		2719 AB	ZOETERMEER	NL	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	78535	86329	78535	77620	78536	65068	79842	66685	79842	54798	79842	53818	79842	53450	79841	60401	0	56779	0	55538	0	52860	0	53311	0	NA	0	NA	0	NA	0	NA	78535	78535	78536	79842	79842	79842	79842	79841	0	0	0	0	0	0	0	0
Netherlands	100-Holding Account	Nederlandse Aardolie Maatschappij B.V. 	12	04008869	closed	Account holder	Nederlandse Aardolie Maatschappij B.V.	Schepersmaat 2		9405 TA	ASSEN	Netherlands	12	NAM, locatie K14-FA-1C/P	NL-200400280	2005-01-01					Schepersmaat 2		9425 TA	ASSEN	NL	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	125249	129880	125249	125847	125248	113111	NA		NA	Not Reported	NA	Not Reported	NA		NA											NA		NA		NA		NA	125249	125249	125248	0	0	0	0	0	0	0	0	0	0	0	0	0
Netherlands	100-Holding Account	Nederlandse Aardolie Maatschappij B.V. 	13	04008869	closed	Account holder	Nederlandse Aardolie Maatschappij B.V.	Schepersmaat 2		9405 TA	ASSEN	Netherlands	13	NAM B.V. Gasproductie en gascompressie-installatie Ameland Westgat	NL-200400273	2005-01-01					p/a Schepersmaat 2		9405 TH	ASSEN	NL	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	44822	49242	44822	45176	44822	52903	NA		NA	Not Reported	NA	Not Reported	NA		NA											NA		NA		NA		NA	44822	44822	44822	0	0	0	0	0	0	0	0	0	0	0	0	0
Netherlands	100-Holding Account	Nederlandse Aardolie Maatschappij B.V. 	14	04008869	closed	Account holder	Nederlandse Aardolie Maatschappij B.V.	Schepersmaat 2		9405 TA	ASSEN	Netherlands	14	NAM, locatie L9-FF-1	NL-200400279	2005-01-01					Schepersmaat 2		9425 TA	ASSEN	NL	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	37114	32204	37114	44849	37113	64388	NA		NA	Not Reported	NA	Not Reported	NA		NA											NA		NA		NA		NA	37114	37114	37113	0	0	0	0	0	0	0	0	0	0	0	0	0
Netherlands	100-Holding Account	Nederlandse Aardolie Maatschappij B.V. 	15	04008869	closed	Account holder	Nederlandse Aardolie Maatschappij B.V.	Schepersmaat 2		9405 TA	ASSEN	Netherlands	15	NAM B.V. locatie Den Helder	NL-200400260	2005-01-01					Oostoeverweg 10		1786 PT	DEN HELDER	NL	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	34612	18450	34612	16756	34613	15111	NA		NA	Not Reported	NA	Not Reported	NA		NA											NA		NA		NA		NA	34612	34612	34613	0	0	0	0	0	0	0	0	0	0	0	0	0
Netherlands	100-Holding Account	Nederlandse Aardolie Maatschappij B.V. 	16	04008869	closed	Account holder	Nederlandse Aardolie Maatschappij B.V.	Schepersmaat 2		9405 TA	ASSEN	Netherlands	16	NAM B.V. Gasbehandelingsinstallatie Grijpskerk (GRK-GDF)	NL-200400268	2005-01-01					De Waardweg 1		9843 TK	GRIJPSKERK	NL	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	14910	14522	14910	16414	14911	13916	NA		NA	Not Reported	NA	Not Reported	NA		NA											NA		NA		NA		NA	14910	14910	14911	0	0	0	0	0	0	0	0	0	0	0	0	0
Netherlands	100-Holding Account	Dana Petroleum Netherlands B.V. 	17	27120679	open	Account holder	Dana Petroleum Netherlands B.V.	Binckhorstlaan 410		2516 BL	'S-GRAVENHAGE	Netherlands	17	Dana Petroleum Netherlands B.V. facility F2-A-Hanze	NL-200400030	2005-01-01					Binckhorstlaan 410		2516 BL	DEN HAAG	NL	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	45211	39901	45211	32369	45210	34525	34943	32094	34942	37066	34942	37809	34942	39846	34942	41304	8580	38726	4216	43550	3106	48208	6094	37933	5980	NA	5862	NA	5744	NA	5626	NA	45211	45211	45210	34943	34942	34942	34942	34942	8580	4216	3106	6094	5980	5862	5744	5626
Netherlands	100-Holding Account	Total E&amp;p Deep Offshore Borneo B.V. 	18	27157042	closed	Account holder	Total E&amp;p Deep Offshore Borneo B.V.	Postbus 93280		2509 AG	'S-GRAVENHAGE	Netherlands	18	Total offshore platform F15A	NL-200400191	2005-01-01					p/a Bordewijklaan 18		2591 XR	DEN HAAG	NL	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	21231	22969	21231	19702	21232	22525	NA		NA	Not Reported	NA	Not Reported	NA		NA											NA		NA		NA		NA	21231	21231	21232	0	0	0	0	0	0	0	0	0	0	0	0	0
Netherlands	100-Holding Account	Total E&amp;p Deep Offshore Borneo B.V. 	19	27157042	closed	Account holder	Total E&amp;p Deep Offshore Borneo B.V.	Postbus 93280		2509 AG	'S-GRAVENHAGE	Netherlands	19	Total offshore platform K5 Central Complex	NL-200400193	2005-01-01					p/a Bordewijklaan 18		2591 XR	DEN HAAG	NL	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	133171	85043	133171	98013	133170	97578	NA		NA	Not Reported	NA	Not Reported	NA		NA											NA		NA		NA		NA	133171	133171	133170	0	0	0	0	0	0	0	0	0	0	0	0	0
Netherlands	100-Holding Account	Total E&amp;p Deep Offshore Borneo B.V. 	20	27157042	closed	Account holder	Total E&amp;p Deep Offshore Borneo B.V.	Postbus 93280		2509 AG	'S-GRAVENHAGE	Netherlands	20	Total offshore platform K6 Central Complex	NL-200400192	2005-01-01					p/a Bordewijklaan 18		2591 XR	DEN HAAG	NL	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	51245	41689	51245	51766	51245	52470	NA		NA	Not Reported	NA	Not Reported	NA		NA											NA		NA		NA		NA	51245	51245	51245	0	0	0	0	0	0	0	0	0	0	0	0	0
