National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Croatia	100-Holding Account	Sladorana d.o.o. 	203889	030010011	open	Account holder	Sladorana d.o.o.	Šećerana 63		32270	Županja	Croatia	203889	Sladorana d.d.	HR-297	2011-08-08					Šećerana 63		32270	Županja	HR	18.692835	45.088405	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		50759	38037	49217	47003	47687	25011	46175	36247	44675	NA	43193	NA	41721	NA	40274	NA	0	0	0	0	0	0	0	0	50759	49217	47687	46175	44675	43193	41721	40274
Croatia	100-Holding Account	GIRK Kalun d.d. 	203945	060106871	open	Account holder	GIRK Kalun d.d.	Stjepana Radića 5		22320	Drniš	Croatia	203945	GIRK Kalun d.d.	HR-310	2011-10-17					Stjepana Radića 86		22320	Drniš	HR	NA	NA	30-Production of lime, or calcination of dolomite/magnesite	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		70158	46488	68940	37676	67707	37127	66461	32441	65202	NA	63930	NA	62643	NA	61351	NA	0	0	0	0	0	0	0	0	70158	68940	67707	66461	65202	63930	62643	61351
Croatia	100-Holding Account	Viro tvornica šećera d.d. 	204012	010049135	open	Account holder	Viro tvornica šećera d.d.	Ulica grada Vukovara 269 g		10000	Zagreb	Croatia	204012	Viro tvornica šećera d.d.	HR-275	2011-06-07					Matije Gupca 254		33000	Virovitica	HR	17.396656	45.855115	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		47456	35462	46632	50757	45798	26587	44956	39351	44104	NA	43244	NA	42373	NA	41500	NA	0	0	0	0	0	0	0	0	47456	46632	45798	44956	44104	43244	42373	41500
Croatia	100-Holding Account	HEP-Proizvodnja d.o.o. 	204086	080434256	open	Account holder	HEP-Proizvodnja d.o.o.	Ulica grada Vukovara 37		10000	Zagreb	Croatia	204086	TE Sisak	HR-339	2011-03-10					Industrijska cesta 10		44010	Sisak	HR	16.414388	45.456007	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		12021	55193	9028	33121	12353	122757	11313	152293	10303	NA	9324	NA	8373	NA	7453	NA	0	0	0	0	0	0	0	0	12021	9028	12353	11313	10303	9324	8373	7453
Croatia	100-Holding Account	Tvornica šećera Osijek d.o.o. 	204105	030080613	open	Account holder	Tvornica šećera Osijek d.o.o.	Frankopanska 99		31000	Osijek	Croatia	204105	Tvornica šećera Osijek d.o.o.	HR-315	2011-09-02					Frankopanska 99		31000	Osijek	HR	18.722259	45.550795	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		62592	76791	60267	74611	57971	69659	55710	89021	53482	NA	51289	NA	49129	NA	47014	NA	0	0	0	0	0	0	0	0	62592	60267	57971	55710	53482	51289	49129	47014
Croatia	100-Holding Account	Petrokemija d.d. tvornica gnojiva 	204107	080004355	open	Account holder	Petrokemija d.d. tvornica gnojiva	Aleja Vukovar 4		44320	Kutina	Croatia	204107	Petrokemija d.d. tvornica gnojiva	HR-299	2011-09-05					Aleja Vukovar 4		44320	Kutina	HR	NA	NA	41-Production of ammonia	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		995538	1393813	978246	1482923	960751	1518620	943074	1247205	925206	NA	907165	NA	888899	NA	870568	NA	0	0	0	0	0	0	0	0	995538	978246	960751	943074	925206	907165	888899	870568
Croatia	100-Holding Account	Acciaierie Bertoli Safau Sisak d.o.o. 	204295	120002079	open	Account holder	Acciaierie Bertoli Safau Sisak d.o.o.	Braće Kavurića 12		44000	Sisak	Croatia	204295	ABS Sisak d.o.o.	HR-321	2011-09-05					Braće Kavurića 12		44000	Sisak	HR	16.392876	45.452212	24-Production of pig iron or steel	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		0	14421	8949/9319*****	18097	28151/13638*****	18167	27634/13392*****	181	0	NA	0	NA	0	NA	0	NA	0	0	0	0	0	0	0	0	0	18268	41789	41026	0	0	0	0
Croatia	100-Holding Account	Badel d.o.o. 	204297	080252038	open	Account holder	Badel d.o.o.	Zagrebačka 23		10260	Sesevete	Croatia	204297	Badel d.o.o.	HR-319	2011-09-01					Zagrebačka 23		10260	Sesvete	HR	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		3901	0	0	Not Reported	0	Not Reported	0	Not Reported	0	NA	0	NA	0	NA	0	NA	0	0	0	0	0	0	0	0	3901	0	0	0	0	0	0	0
Croatia	100-Holding Account	Rockwool Adriatic d.o.o. 	204298	040208458	open	Account holder	Rockwool Adriatic d.o.o.	Poduzetnička zona Pićan Jug 130 (Zajci)		52333	Potpićan (općina Kršan)	Croatia	204298	Rockwool Adriatiic d.o.o.	HR-283	2011-10-19					Poduzetničaka zona Pićan Jug 130 (Zajci)		52333	Potpićan	HR	NA	NA	33-Manufacture of mineral wool	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		36250	47365	35621	52986	34984	61023	34340	64503	33689	NA	33033	NA	32367	NA	31700	NA	0	0	0	0	0	0	0	0	36250	35621	34984	34340	33689	33033	32367	31700
Croatia	100-Holding Account	Keramika Modus d.o.o. 	204321	020028577	open	Account holder	Keramika Modus d.o.o.	Vladimira Nazora 67		33515	Orahovica	Croatia	204321	Keramika Modus d.o.o. Tvornica Orahovica	HR-288	2011-08-04					Vladimira Nazora bb		33515	Orahovica	HR	17.887222	45.551777	32-Manufacture of ceramics	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		21675	9529	21299	9699	20917	11566	20533	9919	20144	NA	19751	NA	19353	NA	18955	NA	0	0	0	0	0	0	0	0	21675	21299	20917	20533	20144	19751	19353	18955
