National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Luxembourg 	100-Holding Account	ArcelorMittal Rodange et Schifflange- Site de Schifflange 	11	B 10643	open	Account holder	ArcelorMittal Rodange et Schifflange- Site de Schifflange	11, Boulevard Aloyse Meyer		4221	Esch/Alzette	Luxembourg 	11	ArcelorMittal Rodange et Schifflange-Site Schiffl	EQE200511	2006-06-08		-	-	0	11, Boulevard Aloyse Meyer		4221	Esch/Alzette	LU	NA	NA	5-Installations for the production of pig iron or steel (primary or secondary fusion) including continuous casting	NA	NA	NA	NA	NA	NA	70996	44856	70996	72306	70996	81276	81073	68791	81073	64250	81073	64696	81073	47502	81073	151		Not Reported		Not Reported		Not Reported		Not Reported		NA		NA		NA		NA	70996	70996	70996	81073	81073	81073	81073	81073	0	0	0	0	0	0	0	0
Luxembourg 	100-Holding Account	ArcelorMittal Belval et Differdange 	12	B 41983	open	Account holder	ArcelorMittal Belval et Differdange	Site d'Esch-Belval		4008	Esch/Alzette	Luxembourg 	12	ArcelorMittal Belval et Differdange - site Differd	EQE-2013-12-01	2006-06-08		-	-	0	Rue Emile Mark		4503	Differdange	LU	NA	NA	24-Production of pig iron or steel	NA	NA	NA	NA	NA	NA	254415	188622	254415	203597	254415	175836	145620	104504	145620	83338	145620	113123	145620	106035	145620	113121	150972	177070	148350	195614	145696	201131	143016	196349	140306	NA	137571	NA	134800	NA	132020	NA	254415	254415	254415	145620	145620	145620	145620	145620	150972	148350	145696	143016	140306	137571	134800	132020
Luxembourg 	100-Holding Account	ArcelorMittal Belval et Differdange 	13	B 41983	open	Account holder	ArcelorMittal Belval et Differdange	Site d'Esch-Belval		4008	Esch/Alzette	Luxembourg 	13	ArcelorMittal Belval &amp; Differdange-Site de Belval	EQE-2013-13-01	2006-06-08		-	-	0	Site d'Esch-Belval		4008	Esch/Alzette	LU	NA	NA	24-Production of pig iron or steel	NA	NA	NA	NA	NA	NA	228018	126113	228018	164930	228018	178515	73118	49725	73118	39208	73118	45284	73118	59967	73118	66267	153174	185176	150514	196275	147821	183931	145102	185696	142354	NA	139578	NA	136766	NA	133947	NA	228018	228018	228018	73118	73118	73118	73118	73118	153174	150514	147821	145102	142354	139578	136766	133947
Luxembourg 	100-Holding Account	Primorec S.A. 	14	B 82849	closed	Account holder	Primorec S.A.	BP70		4501	Differdange	Luxembourg 	14	Primorec S.A.	EQE200514	2006-06-08	2007-12-31	-	-	0	Portail rue Woiver		4503	Differdange	LU	NA	NA	5-Installations for the production of pig iron or steel (primary or secondary fusion) including continuous casting	NA	NA	NA	NA	NA	NA	95706	39994	95706	45847	95706	49573	NA	Not Reported	NA	Not Reported	NA	Not Reported	NA	Not Reported	NA	Not Reported										NA		NA		NA		NA	95706	95706	95706	0	0	0	0	0	0	0	0	0	0	0	0	0
Luxembourg 	100-Holding Account	Twinerg S.A. 	15	B 64224	open	Account holder	Twinerg S.A.	route d'Ehlerange 201		4108	Esch sur Alzette	Luxembourg 	15	Centrale TGV d'Esch/Alzette	EQE200515	2006-06-08		-	-	0	201, route d'Ehlerange		4108	Esch sur Alzette	LU	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	1104000	968435	1104000	1015286	1104000	919280	858156	749260	858156	934080	858156	946734	858156	742897	858156	771817		405628		440440		223823		8103		NA		NA		NA		NA	1104000	1104000	1104000	858156	858156	858156	858156	858156	0	0	0	0	0	0	0	0
Luxembourg 	100-Holding Account	wasilewski 	205662		open	Account holder	wasilewski	3 rue hélène boucher		57155	marly	Luxembourg 	205662	Dudelange	EOE-NEW22-2013	2013-01-01		dudelange	arcelormittal	LU-29	ZI wolser		L-3401	dudelange	LU	49.478462	6.0858789	25-Production or processing of ferrous metals	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		22233	28644	21847	28580	21456	28300	21061	29487	20662	NA	20260	NA	19852	NA	19442	NA	0	0	0	0	0	0	0	0	22233	21847	21456	21061	20662	20260	19852	19442
Luxembourg 	100-Holding Account	Eurofoil Luxembourg SA 	205707	19822200519	open	Account holder	Eurofoil Luxembourg SA	ZI Riedgen		3401	Dudelange	Luxembourg 	205707	Eurofoil Luxembourg SA	EQE-2013-18	2013-01-01					ZI Riedgen		3401	Dudelange	LU	NA	NA	27-Production of secondary aluminium	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		17762	19453	17453	19040	17141	20719	16826	20356	16507	NA	16185	NA	15859	NA	15532	NA	0	0	0	0	0	0	0	0	17762	17453	17141	16826	16507	16185	15859	15532
Luxembourg 	100-Holding Account	C. KARP-KNEIP Matériaux S.A. 	205710	B25352	open	Account holder	C. KARP-KNEIP Matériaux S.A.	14, rue Michel Flammang		1524	Luxembourg	Luxembourg 	205710	KARP-KNEIP Matériaux	EQE-2013-17	2013-01-01					14, rue Michel Flammang		1524	Luxembourg	LU	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		2459	3247	2200	4080	1949	3228	1705	3800	1469	NA	1240	NA	1019	NA	806	NA	0	0	0	0	0	0	0	0	2459	2200	1949	1705	1469	1240	1019	806
Luxembourg 	100-Holding Account	JULIEN-CAJOT 	205712	B 7784	open	Account holder	JULIEN-CAJOT	1,Z.I. GRASBUSCH		L-3370	LEUDELANGE	Luxembourg 	205712	CENTRALES D'ENROBES	EQE-2013-16	2013-01-01					1,Z.I. GRASBUSCH		L-3370	LEUDELANGE	LU	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		3351	8396	3000	10268	2657	8924	2325	9551	2003	NA	1691	NA	1390	NA	1099	NA	0	0	0	0	0	0	0	0	3351	3000	2657	2325	2003	1691	1390	1099
Luxembourg 	100-Holding Account	ArcelorMittal Belval et Differdange 	205713	B 41983	open	Account holder	ArcelorMittal Belval et Differdange	Site d'Esch-Belval		4008	Esch/Alzette	Luxembourg 	205713	AM Rodange et Schifflange - Site de Rodange	EQE-2013-21	2013-01-01					2 rue de l'Industrie		L-4823	Rodange	LU	NA	NA	25-Production or processing of ferrous metals	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		27321	18951	26846	20490	26366	19758	25881	19699	25391	NA	24896	NA	24395	NA	23891	NA	0	0	0	0	0	0	0	0	27321	26846	26366	25881	25391	24896	24395	23891
Luxembourg 	100-Holding Account	HYDRO ALUMINIUM CLERVAUX 	205996	19952215054	open	Account holder	HYDRO ALUMINIUM CLERVAUX	16 Op der Sang		9779	Eselborn	Luxembourg 	205996	HYDRO ALUMINIUM CLERVAUX	EQE-2013-23	2013-01-01			NORSK HYDRO		16 Op der Sang		9779	ESELBORN	LU	NA	NA	27-Production of secondary aluminium	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		0/20589*****	20441	0/20231*****	20441	0/19873*****	18088	0/19514*****	20898	0/19156*****	NA	0/18798*****	NA	0/18440*****	NA	0/18081*****	NA	0	0	0	0	0	0	0	0	20589	20231	19873	19514	19156	18798	18440	18081
Luxembourg 	100-Holding Account	Thimmesch 	206912		open	Account holder	Thimmesch	ZI Um Monkeler		4149	Schifflange	Luxembourg 	206912	Minute Mix	EQE-2014-24	2014-09-01					Rue Roman Fandel		4149	Schifflange	LU	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA					117		1039	0/1230*****	1880	0/671*****	NA	0/567*****	NA	0/467*****	NA	0/370*****	NA	0	0	0	0	0	0	0	0	0	0	0	1230	671	567	467	370
Luxembourg 	100-Holding Account	Kiowatt S.A. 	207067	B 143047	open	Account holder	Kiowatt S.A.	Z.A.C Klengbousbierg	6, op der Poukewiss	7795	Bissen	Luxembourg 	207067	Kiowatt - Centrale de cogénération biomasse à Biss	EQE25	2014-09-01					Kiowatt		L-7785	Bissen	LU	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA				0/6831*****	58	0/6085*****	225	0/5326*****	130	0/4591*****	NA	0/3880*****	NA	0/3191*****	NA	0/2528*****	NA	0	0	0	0	0	0	0	0	0	6831	6085	5326	4591	3880	3191	2528
