National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Denmark	100-Holding Account	Farum Fjernvarme A M B A 	11	10663210	open	Account holder	Farum Fjernvarme A M B A	Stavnsholtvej 33		3520	Farum	Denmark	11	Farum Fjernvarme, stavnsholtcentralen	TCO2-102	2005-01-01					Stavnsholtvej 33		3520	Farum	DK	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	1072	3437	804	1953	804	1199	2736	1858	2732	1219	2732	1600	2732	603	2732	2083	1450	2491	1298	2171	1150	2377	1006	2127	866	NA	732	NA	601	NA	476	NA	1072	804	804	2736	2732	2732	2732	2732	1450	1298	1150	1006	866	732	601	476
Denmark	100-Holding Account	Farum Fjernvarme A M B A 	12	10663210	open	Account holder	Farum Fjernvarme A M B A	Stavnsholtvej 33		3520	Farum	Denmark	12	Farum Fjernvarme, Rugmarkencentralen	TCO2-103	2005-01-01					Stavnsholtvej 33		3520	Farum	DK	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	3058	4468	2294	2490	2293	901	1597	6492	1594	4858	1594	4710	1594	4224	1594	10216	3640	6294	3257	6831	2885	5046	2525	6480	2175	NA	1836	NA	1508	NA	1194	NA	3058	2294	2293	1597	1594	1594	1594	1594	3640	3257	2885	2525	2175	1836	1508	1194
Denmark	100-Holding Account	Maribo Varmeværk AMBA 	13	11135617	closed	Account holder	Maribo Varmeværk AMBA	C.E. Christiansens Vej 40		4930	Maribo	Denmark	13	Maribo Varmeværk	11135617-1000187343-0024-20041001	2005-01-01	2012-12-31				C.E. Christiansens Vej 40		4930	Maribo	DK	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										NA		NA		NA		NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Denmark	100-Holding Account	Værløse Varmeværk Amba 	14	11899412	open	Account holder	Værløse Varmeværk Amba	Klostergårdsvej 59.		3500	Værløse	Denmark	14	Værløse Varmeværk	TCO2-575	2005-01-01					Klostergårdsvej 59		3500	Værløse	DK	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	874	2361	656	1704	656	640	712	2064	712	1777	712	2138	712	1748	712	2852	1703	1977	1525	711	675	561	591	855	509	NA	430	NA	353	NA	280	NA	874	656	656	712	712	712	712	712	1703	1525	675	591	509	430	353	280
Denmark	100-Holding Account	Ishøj Varmeværk 	15	11931316	closed	Account holder	Ishøj Varmeværk	Industrivangen 34		2635	Ishøj	Denmark	15	Ishøj Kommunes Varmeforsyning	11931316-1003272783-0298-20041001	2005-01-01	2012-12-31				Industrivangen 34		2635	Ishøj	DK	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	432	0	324	0	325	1834	229	3	228	2	228	42	228	8	228	49										NA		NA		NA		NA	432	324	325	229	228	228	228	228	0	0	0	0	0	0	0	0
Denmark	100-Holding Account	Silkeborg Varme A/S 	16	31857759	open	Account holder	Silkeborg Varme A/S	Tietgensvej 3		8600	Silkeborg	Denmark	16	Silkeborg Varme A/S - Fjernvarmeværket Hostrupgade	TCO2-452	2005-01-01					Hostrupgade 47	Tietgensvej 3	8600	Silkeborg	DK	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	1950	3319	1462	1244	1463	4168	1477	3379	1476	3908	1476	9369	1476	8138	1476	37899	5658	26657	5064	19879	4485	24266	3925	15432	3381	NA	2855	NA	2346	NA	1856	NA	1950	1462	1463	1477	1476	1476	1476	1476	5658	5064	4485	3925	3381	2855	2346	1856
Denmark	100-Holding Account	Silkeborg Varme A/S 	17	31857759	open	Account holder	Silkeborg Varme A/S	Tietgensvej 3		8600	Silkeborg	Denmark	17	Silkeborg Varme A/S - Varmeværket Kejlstrupvej	TCO2-453	2005-01-01					Kejlstrupvej 38	Tietgensvej 3	8600	Silkeborg	DK	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	6045	1795	4534	2538	4534	5828	2903	3304	2902	2029	2902	3321	2902	366	2902	814	794	9781	1421	24137	1258	35442	1101	20411	949	NA	801	NA	658	NA	521	NA	6045	4534	4534	2903	2902	2902	2902	2902	794	1421	1258	1101	949	801	658	521
Denmark	100-Holding Account	Andelsselskabet Oksbøl Varmeværk 	18	DK12787111	open	Account holder	Andelsselskabet Oksbøl Varmeværk	Industrivej 10		6840	Oksbøl	Denmark	18	Oksbøl Varmeværk	TCO2-26	2005-01-01					Industrivej 10		6840	Oksbøl	DK	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	21698	11071	16274	9844	16273	9208	13287	8632	13283	9809	13283	12240	13283	8100	13283	6539	5988	6673	5359	4633	4747	5049	4155	5082	3582	NA	3027	NA	2490	NA	1972	NA	21698	16274	16273	13287	13283	13283	13283	13283	5988	5359	4747	4155	3582	3027	2490	1972
Denmark	100-Holding Account	Brørup Fjernvarme A m b a 	19	DK 13551472	open	Account holder	Brørup Fjernvarme A m b a	Vandværksvej 5		6650	Brørup	Denmark	19	Brørup Fjernvarme	TCO2-249	2005-01-01					Vandværksvej 5		6650	Brørup	DK	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	16189	9371	12142	8568	12142	7850	10831	8330	10830	8598	10830	10088	10830	4527	10830	2622	5370	2654	4806	1125	4257	1009	3727	1176	3212	NA	2714	NA	2233	NA	1769	NA	16189	12142	12142	10831	10830	10830	10830	10830	5370	4806	4257	3727	3212	2714	2233	1769
Denmark	100-Holding Account	Lem varmeværk 	20	15763515	open	Account holder	Lem varmeværk	Askevej 5		6940	Lem st	Denmark	20	Lem Varmeværk	TCO2-338	2005-01-01					Askevej 5		6940	Lem St	DK	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	23902	12627	17927	12748	17927	9247	14107	6746	14106	2395	14106	3179	14106	2347	14106	2369	8156	2236	7299	1825	6466	1726	5659	2157	4878	NA	4122	NA	3391	NA	2686	NA	23902	17927	17927	14107	14106	14106	14106	14106	8156	7299	6466	5659	4878	4122	3391	2686
