National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Norway	100-Holding Account	Pelagia AS 	11	989094823	open	Account holder	Pelagia AS	Postboks 444	Bradbenken 1	5805	BERGEN	Norway	11	Pelagia AS Egersund Sildoljefabrikk	NO-2006-69	2009-04-02					Åsaneveien 103		4373	Egersund	NO	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		11268	11519	11268	15828	11268	22614	11268	12614	11268	12667	12887	17143	12663	18346	12437	20792	12208	19035	11977	NA	11743	NA	11507	NA	11269	NA	0	0	0	11268	11268	11268	11268	11268	12887	12663	12437	12208	11977	11743	11507	11269
Norway	100-Holding Account	Esso Norge AS 	12	914803802	open	Account holder	Esso Norge AS	Postboks 2001	Essoveien 100	3103	Tønsberg	Norway	12	Esso Norge AS, Slagentangen	NO-2006-87	2009-04-02					Postboks 2001		3103	Tønsberg	NO	NA	NA	21-Refining of mineral oil	NA	NA	NA	NA	NA	NA	NA		NA		NA		333209	356483	333209	349129	333209	329645	333209	327370	333209	296194	356800	336230	350603	332318	344333	329479	337997	259157	331593	NA	325127	NA	318581	NA	312011	NA	0	0	0	333209	333209	333209	333209	333209	356800	350603	344333	337997	331593	325127	318581	312011
Norway	100-Holding Account	ExxonMobil Exploration and Prod Norway AS 	13	914048990	open	Account holder	ExxonMobil Exploration and Prod Norway AS	Postboks 60	Grenseveien 6	4313	Sandnes	Norway	13	ExxonMobil Expl and Prod NOR AS Balder og Ringh.	NO-2007-1301	2009-04-02					Postboks 60		4064	Stavanger	NO	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		0	163047	0	148107	0	124560	0	135274	0	131945	32579	159665	32013	137027	31440	148542	30862	136766	30277	NA	29687	NA	29089	NA	28489	NA	0	0	0	0	0	0	0	0	32579	32013	31440	30862	30277	29687	29089	28489
Norway	100-Holding Account	ExxonMobil Exploration and Prod Norway AS 	14	914048990	open	Account holder	ExxonMobil Exploration and Prod Norway AS	Postboks 60	Grenseveien 6	4313	Sandnes	Norway	14	ExxonMobil Expl and Prod NOR AS Jotunfeltet	NO-2007-1060	2009-04-02					Postboks 60		4064	Stavanger	NO	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		0	180013	0	166171	0	171264	0	166427	0	160969	58640	171313	57621	180974	56591	159662	55550	156463	54498	NA	53435	NA	52359	NA	51279	NA	0	0	0	0	0	0	0	0	58640	57621	56591	55550	54498	53435	52359	51279
Norway	100-Holding Account	Oslofjord Varme AS 	15	979994265	open	Account holder	Oslofjord Varme AS	Brynsveien 2		1338	Sandvika	Norway	15	Oslofjord Varme AS Sandvika	NO-2006-61	2009-04-02					Brynsveien 2		1338	Sandvika	NO	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		1641	1891	1641	1686	1641	3056	1641	1033	1641	1550	9984	1104	8936	796	7914	789	6925	1731	5966	NA	5037	NA	4139	NA	3274	NA	0	0	0	1641	1641	1641	1641	1641	9984	8936	7914	6925	5966	5037	4139	3274
Norway	100-Holding Account	Oslofjord Varme AS 	16	979994265	open	Account holder	Oslofjord Varme AS	Brynsveien 2		1338	Sandvika	Norway	16	Oslofjord Varme AS Fornebu-Lysaker	NO-2007-1228	2009-04-02					Brynsveien 2		1338	Sandvika	NO	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		1538	768	1538	1693	1538	5548	1538	4438	1538	1759	10899	509	9754	210	8639	295	7559	677	6511	NA	5498	NA	4518	NA	3574	NA	0	0	0	1538	1538	1538	1538	1538	10899	9754	8639	7559	6511	5498	4518	3574
Norway	100-Holding Account	Oslofjord Varme AS 	17	979994265	open	Account holder	Oslofjord Varme AS	Brynsveien 2		1338	Sandvika	Norway	17	Oslofjord Varme AS Ahus	NO-2007-1229	2009-04-02					Brynsveien 2		1338	Sandvika	NO	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		2869	3032	2869	1373	2869	3592	2869	2482	2869	1106	4011	1283	3590	361	3180	341	2782	217	2397	NA	2024	NA	1662	NA	1316	NA	0	0	0	2869	2869	2869	2869	2869	4011	3590	3180	2782	2397	2024	1662	1316
Norway	100-Holding Account	FREVAR KF 	18	979952171	open	Account holder	FREVAR KF	Postboks 1430	Habornveien 61	1602	Fredrikstad	Norway	18	FREVAR KF	NO-2007-1206	2009-04-02					Habornv 61		1630	Gamle Fredrikstad	NO	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		274	808	274	794	274	915	274	1441	274	785	31038	49862	27777	49015	24603	48815	21526	46871	18544	NA	15659	NA	12866	NA	10179	NA	0	0	0	274	274	274	274	274	31038	27777	24603	21526	18544	15659	12866	10179
Norway	100-Holding Account	Celsa Armeringsstål AS 	19	953591421	open	Account holder	Celsa Armeringsstål AS	Postboks 500	Mo Industripark	8601	Mo i Rana	Norway	19	Celsa Armeringsstål AS	NO-2006-89	2009-04-02					Mo Industripark		8626	Mo i Rana	NO	NA	NA	24-Production of pig iron or steel	NA	NA	NA	NA	NA	NA	NA		NA		NA		73118	69959	73118	74619	73118	78194	73118	88863	73118	100635	73186	91921	71914	100149	70628	96656	69329	91511	68015	NA	66688	NA	65346	NA	63998	NA	0	0	0	73118	73118	73118	73118	73118	73186	71914	70628	69329	68015	66688	65346	63998
Norway	100-Holding Account	Gasnor AS 	20	955431685	open	Account holder	Gasnor AS	Postboks 63	Flyplassveien	4299	Avaldsnes	Norway	20	Gasnor AS	NO-2007-264	2009-04-02					Postboks 63		4299	Avaldsnes	NO	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		10042	9603	10042	15101	10042	8214	10042	7766	10042	11619	9803	7873	9632	6921	9459	4625	9286	4478	9110	NA	8932	NA	8752	NA	8572	NA	0	0	0	10042	10042	10042	10042	10042	9803	9632	9459	9286	9110	8932	8752	8572
