National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Belgium	100-Holding Account	Rendac 	15	400272181	open	Account holder	Rendac	Fabriekstraat 2		9470	Denderleeuw	Belgium	15	Rendac	VL424	2005-04-01		-	-	0	Fabriekstraat 2		9470	Denderleeuw	BE	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	21984	4881	21984	7567	21983	10210	15230	14511	15230	10659	15230	10955	15229	22155	15229	19477	21638	21790	19365	22225	17152	23879	15007	23822	12928	NA	10916	NA	8970	NA	7097	NA	21984	21984	21983	15230	15230	15230	15229	15229	21638	19365	17152	15007	12928	10916	8970	7097
Belgium	100-Holding Account	Wienerberger 	16	0448850870	open	Account holder	Wienerberger	Kapel ter Bede 121		8500	Kortrijk	Belgium	16	Desimpel Kortemark	VL702	2005-04-01		-	Wienerberger NV	0	Hoogledestraat 92		8610	Kortemark	BE	NA	NA	32-Manufacture of ceramics	NA	NA	NA	NA	NA	NA	64967	61059	64967	58573	64967	58328	73219	29840	73219	20841	73219	19991	73218	28378	73218	21126	25383	21322	24941	26860	24495	28608	24045	23984	23590	NA	23129	NA	22664	NA	22196	NA	64967	64967	64967	73219	73219	73219	73218	73218	25383	24941	24495	24045	23590	23129	22664	22196
Belgium	100-Holding Account	Porotherm Wall Systems 	17	400324542	closed	Account holder	Porotherm Wall Systems	Kepel ter Bede 86		8500	Kortrijk	Belgium	17	Desimpel Niel	VL707	2005-04-01	2010-03-31	-	-	0	Landbouwstraat 98		2845	Niel	BE	NA	NA	8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	NA	NA	NA	NA	NA	NA	18986	16118	18986	14188	18985	14237	20962	286	20962	0	0		0		0											NA		NA		NA		NA	18986	18986	18985	20962	20962	0	0	0	0	0	0	0	0	0	0	0
Belgium	100-Holding Account	Wienerberger 	18	0448850870	closed	Account holder	Wienerberger	Kapel ter Bede 121		8500	Kortrijk	Belgium	18	Desimpel-Terca Wanlin	WAI040P122	2005-04-01	2013-12-31	-	-	0	Route de Beauraing 131		5564	Wanlin	BE	NA	NA	32-Manufacture of ceramics	NA	NA	NA	NA	NA	NA	6028	5535	6028	5752	6028	6111	6633	6503	6633	5187	6633	4244	6633	5167	6634	3739	4747	1707	0	Excluded	0		0		0	NA	0	NA	0	NA	0	NA	6028	6028	6028	6633	6633	6633	6633	6634	4747	0	0	0	0	0	0	0
Belgium	100-Holding Account	SONAC GENT 	19	400332460	open	Account holder	SONAC GENT	Braamtweg 2		9042	Gent	Belgium	19	SONAC GENT	VL465	2005-04-01		-	-	0	Braamtweg 2		9042	Gent	BE	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	8486	10239	8486	10994	8487	12330	11800	11501	11800	12414	11800	11743	11801	11868	11801	11899	8192	12026	7331	10111	6493	11386	5682	12124	4894	NA	4133	NA	3396	NA	2687	NA	8486	8486	8487	11800	11800	11800	11801	11801	8192	7331	6493	5682	4894	4133	3396	2687
Belgium	100-Holding Account	Idempapers 	20	0400344734	closed	Account holder	Idempapers	Rue d'Asquempont 2		1460	Virginal (Ittre)	Belgium	20	Idempapers Nivelles	WAI014P077	2005-04-01	2011-10-06	-	-	0	Place des déportés 12		1400	Nivelles	BE	NA	NA	9-Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board	NA	NA	NA	NA	NA	NA	11883	9972	11883	9512	11883	8045	12007	3136	12007	2484	12008	2089	12008	1663	0											NA		NA		NA		NA	11883	11883	11883	12007	12007	12008	12008	0	0	0	0	0	0	0	0	0
Belgium	100-Holding Account	Idempapers 	21	0400344734	open	Account holder	Idempapers	Rue d'Asquempont 2		1460	Virginal (Ittre)	Belgium	21	Idempapers Virginal	WAI015P076	2005-04-01		-	-	0	Rue d'Asquempont 2		1460	Virginal	BE	NA	NA	36-Production of paper or cardboard	NA	NA	NA	NA	NA	NA	68068	57713	68068	59200	68068	56404	47210	54288	47210	47320	74845	56864	80373	60092	80373	68556	54044	78696	53105	74047	52156	78920	51196	78530	50226	NA	49247	NA	48255	NA	47260	NA	68068	68068	68068	47210	47210	74845	80373	80373	54044	53105	52156	51196	50226	49247	48255	47260
Belgium	100-Holding Account	NLMK Clabecq 	22	0461.296.861	open	Account holder	NLMK Clabecq	Rue de Clabecq 101		1460	Ittre	Belgium	22	NLMK Clabecq	WAI044P071	2005-04-01		-	-	0	rue de Clabecq 101		1460	Ittre	BE	NA	NA	25-Production or processing of ferrous metals	NA	NA	NA	NA	NA	NA	141360	86298	141360	84289	141360	81905	118296	82506	118296	42365	118297	55818	118297	54477	118297	54380	78368	47283	77007	54368	75630	53985	74239	59067	72832	NA	71412	NA	69974	NA	68531	NA	141360	141360	141360	118296	118296	118297	118297	118297	78368	77007	75630	74239	72832	71412	69974	68531
Belgium	100-Holding Account	CNH Belgium 	23	400444803	closed	Account holder	CNH Belgium	Léon Claeysstraat 3A		8210	Zedelgem	Belgium	23	CNH Belgium	VL517	2005-01-01		-	-	0	Léon Claeysstraat 3A		8210	Zedelgem	BE	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	11001	8511	11001	8312	11002	7832	NA		NA		NA		NA		NA											NA		NA		NA		NA	11001	11001	11002	0	0	0	0	0	0	0	0	0	0	0	0	0
Belgium	100-Holding Account	Cimenteries CBR Cementbedrijven 	25	0400465290	open	Account holder	Cimenteries CBR Cementbedrijven	Chaussée de la Hulpe 185		1170	Watermael-Boitsfort (Bruxelles)	Belgium	25	CBR Cimenterie Antoing	WAI031P093	2005-04-01		-	-	0	rue du Coucou 8		7640	Antoing	BE	NA	NA	29-Production of cement clinker	NA	NA	NA	NA	NA	NA	930933	608635	930933	710345	930933	706775	760340	695438	760340	643163	760340	511558	760340	633064	760341	619600	649738	624705	638452	642502	627034	577870	615497	644432	603836	NA	592061	NA	580140	NA	568177	NA	930933	930933	930933	760340	760340	760340	760340	760341	649738	638452	627034	615497	603836	592061	580140	568177
Belgium	100-Holding Account	Cimenteries CBR Cementbedrijven 	26	0400465290	closed	Account holder	Cimenteries CBR Cementbedrijven	Chaussée de la Hulpe 185		1170	Watermael-Boitsfort (Bruxelles)	Belgium	26	CBR Cimenterie Harmignies	WAI032P105	2005-04-01	2014-12-31	-	-	0	rue Blancart 1		7022	Harmignies	BE	NA	NA	29-Production of cement clinker	NA	NA	NA	NA	NA	NA	263463	171567	263464	173191	263464	214703	194637	155095	194637	199604	194637	200364	194637	193727	194637	206968	146525	143154	143979	80830	0		0		0	NA	0	NA	0	NA	0	NA	263463	263464	263464	194637	194637	194637	194637	194637	146525	143979	0	0	0	0	0	0
Belgium	100-Holding Account	Cimenteries CBR Cementbedrijven 	27	0400465290	open	Account holder	Cimenteries CBR Cementbedrijven	Chaussée de la Hulpe 185		1170	Watermael-Boitsfort (Bruxelles)	Belgium	27	CBR Cimenterie Lixhe	WAI033P091	2005-04-01		-	-	0	rue des Trois Fermes		4600	Visé	BE	NA	NA	29-Production of cement clinker	NA	NA	NA	NA	NA	NA	1304487	1059929	1304487	1250666	1304487	1165459	1127869	1139474	1127869	955732	1127869	917216	1127869	894070	1127870	868427	982587	940962	965521	987407	948253	940051	930806	984128	913171	NA	895364	NA	877335	NA	859244	NA	1304487	1304487	1304487	1127869	1127869	1127869	1127869	1127870	982587	965521	948253	930806	913171	895364	877335	859244
Belgium	100-Holding Account	Citrique Belge 	28	400934652	open	Account holder	Citrique Belge	Pastorijstraat 249		3300	Tienen	Belgium	28	Citrique Belge	VL403	2005-04-01		-	-	0	Pastorijstraat 249		3300	Tienen	BE	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	82684	78892	82684	81806	82684	75566	93246	75329	93246	69721	93246	63209	93246	70195	93247	75188	61549	81568	60480	77370	59399	80189	58306	81195	57201	NA	56086	NA	54956	NA	53823	NA	82684	82684	82684	93246	93246	93246	93246	93247	61549	60480	59399	58306	57201	56086	54956	53823
