National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Bulgaria	100-Holding Account	TPP Bobov Dol 	11	109513731	open	Account holder	TPP Bobov Dol	Goliamo selo		2635	Goliamo selo	Bulgaria	11	TPP Bobov Dol	BG-P58	2008-11-30					obl.Kustendilska		2600	Dupnitza	BG	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA	2912575	2580355	2580355	2630228	2139721	2266749	2380540	2266770	2829204	1602695	1717912	0/1552429****	2030790	0/1348030****	2301350	0/1123358****	2458329	0/898686****	2582966		NA		NA		NA		NA	0	0	0	2580355	2630228	2266749	2266770	1602695	1552429	1348030	1123358	898686	0	0	0	0
Bulgaria	100-Holding Account	Holcim Bulgaria S.A 	12	816089656	open	Account holder	Holcim Bulgaria S.A	obl.Montana		3000	Beli Izvor	Bulgaria	12	Holcim Bulgaria -Beli Izvor	BG-P91	2008-11-30					obl.Montana		3000	Beli Izvor	BG	NA	NA	29-Production of cement clinker	NA	NA	NA	NA	NA	NA	NA		NA		NA	630453	486648	486648	776236	401864	685413	308082	685419	366055	714632	365862	690735	374987	678737	383494	666599	398398	654334	373467	641937	NA	629419	NA	616745	NA	604027	NA	0	0	0	486648	776236	685413	685419	714632	690735	678737	666599	654334	641937	629419	616745	604027
Bulgaria	100-Holding Account	Holcim Bulgaria S.A. 	13	816089656	closed	Account holder	Holcim Bulgaria S.A.	obl.Montana		3000	Beli Izvor	Bulgaria	13	Holcim Bulgaria -Pleven	BG-P90	2008-11-30	2012-02-22				Zapadna industrialna zona		5800	Pleven	BG	NA	NA	6-Installations for the production of cement clinker in rotary kilns or lime in rotary kilns or in other furnaces	NA	NA	NA	NA	NA	NA	NA		NA		NA	230712	220109	220109	259660	55617	223777	2600	223779	0	0											NA		NA		NA		NA	0	0	0	220109	259660	223777	223779	0	0	0	0	0	0	0	0	0
Bulgaria	100-Holding Account	Shavarna -97 OOD 	14	114098429	closed	Account holder	Shavarna -97 OOD	str.Panaiot Hitov 1		5900	Levski	Bulgaria	14	Tuhlen ceh - Asenovci	BG-P47	2008-11-30	2012-01-20				c.Levski		5913	Asenovci	BG	NA	NA	99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC	NA	NA	NA	NA	NA	NA	NA		NA		NA	2779	2765	2756	2833	82	2441	61	2441	0	0											NA		NA		NA		NA	0	0	0	2765	2833	2441	2441	0	0	0	0	0	0	0	0	0
Bulgaria	100-Holding Account	Toplofikatsia-Bourgas EAD 	15	102011085	open	Account holder	Toplofikatsia-Bourgas EAD	q.Lozovo		8000	Bourgas	Bulgaria	15	Toplofikatsia Bourgas	BG-P61	2008-11-30					q.Lozovo		8000	Bourgas	BG	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA	84678	80416	80416	101547	82041	87514	81963	87514	84739	91244	74544	46218/16597****	77186	41361/14226****	71974	36641/11855****	65986	32071/9484****	65533	27644	NA	23361	NA	19217	NA	15221	NA	0	0	0	80416	101547	87514	87514	91244	62815	55587	48496	41555	27644	23361	19217	15221
Bulgaria	100-Holding Account	KERAMAT AD,Kaspichan 	16	127023234	open	Account holder	KERAMAT AD,Kaspichan	str.Alexander Stamboliiski 77		9930	Kaspichan	Bulgaria	16	Keramat-Kaspichan	BG-P12	2008-11-30					str.Alexander Stamboliiski 77		9930	Kaspichan	BG	NA	NA	32-Manufacture of ceramics	NA	NA	NA	NA	NA	NA	NA		NA		NA	23551	22687	22687	24006	7005	20689	4913	20689	8516	21571	9007	6938	9125	10633	10961	13390	10986	13144	9303	12894	NA	12644	NA	12389	NA	12133	NA	0	0	0	22687	24006	20689	20689	21571	6938	10633	13390	13144	12894	12644	12389	12133
Bulgaria	100-Holding Account	Keramat AD 	17	127023234	closed	Account holder	Keramat AD	str.Alexander Stamboliiski 77		9930	Kaspichan	Bulgaria	17	Keramat-Vetrishte	BG-P16	2008-11-30	2013-08-13				Chumen		9809	Verishte	BG	NA	NA	8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	NA	NA	NA	NA	NA	NA	NA		NA		NA	8131	8058	8058	7696	222	6633	69	6633	47	6915	14										NA		NA		NA		NA	0	0	0	8058	7696	6633	6633	6915	0	0	0	0	0	0	0	0
Bulgaria	100-Holding Account	Keramat AD Kaspichan 	18	127023234	open	Account holder	Keramat AD Kaspichan	str.Alexander Stamboliiski 77		9930	Kaspichan	Bulgaria	18	Keramat-Divdyadovo	BG-P11	2008-11-30					q.Divdyadovo		9700	Chumen	BG	NA	NA	32-Manufacture of ceramics	NA	NA	NA	NA	NA	NA	NA		NA		NA	15777	13456	13456	16082	0	13860	48	13860	17	14450	16	0	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	NA	0	0	0	13456	16082	13860	13860	14450	0	0	0	0	0	0	0	0
Bulgaria	100-Holding Account	Aurubis Bulgaria AD 	19	832046871	open	Account holder	Aurubis Bulgaria AD	Industrialna zona		2070	Pirdop	Bulgaria	19	Aurubis Bulgaria AD	BG-P114	2008-11-30					Promichlena zona		2070	Pirdop	BG	NA	NA	28-Production or processing of non-ferrous metals	NA	NA	NA	NA	NA	NA	NA		NA		NA	9653	7700	7700	9840	2756	8480	4810	8480	1964	8841	1709	450014	46821	442197	40346	434289	38611	426299	38420	418222	NA	410067	NA	401809	NA	393523	NA	0	0	0	7700	9840	8480	8480	8841	450014	442197	434289	426299	418222	410067	401809	393523
Bulgaria	100-Holding Account	Zlatna Panega Cement AD 	20	820162213	open	Account holder	Zlatna Panega Cement AD	str.Chipka 22		5760	Zlatna Panega	Bulgaria	20	Zlatna Panega Cement	BG-P6	2008-11-30					str.Chipka 22		5760	Zlatna Panega	BG	NA	NA	29-Production of cement clinker	NA	NA	NA	NA	NA	NA	NA		NA		NA	745962	877407	877407	894366	416856	770771	425384	770778	379317	803628	477200	806691	327619	397935	386220	390819	474680	764179	462928	749700	NA	735081	NA	720280	NA	705427	NA	0	0	0	877407	894366	770771	770778	803628	806691	397935	390819	764179	749700	735081	720280	705427
